Periodo;AGROPEC.;Ext.Mineral;Transfor.;Eletricidade;Construcao;INDUST.;Comercio;Transporte;Serv.infor.;Interm.finac.;Ativ.imobili.;OutrosServ.;Adm.publica;SERVIC.
2010.IV;11258,51962;2319,655492;35133,42098;5882,073542;17169,68398;60660,47519;22342,60184;8450,514841;9894,252848;33848,55655;26107,39597;35913,92096;37649,68496;173084,3301
2011.I;18286,91879;2167,484758;32373,9683;5792,126956;16331,4873;56817,754;20907,39083;8204,669958;9362,690215;32672,58361;26041,93442;34039,66597;37734,93954;167436,6966
2011.II;17697,6406;2279,888326;35278,08836;6077,430603;17637,14912;61276,70552;21916,22514;8452,917871;9800,97567;33123,21208;25940,68869;35302,84595;38390,34949;171955,3287
2011.III;16938,59738;2351,135158;36543,95423;6113,382624;18600,55258;63520,19252;22364,01781;8657,440554;9968,529532;33997,84959;26087,16543;36173,68443;38274,08262;174480,043
2011.IV;12483,42161;2397,528412;34525,33628;6220,429988;18485,50265;61785,24979;22472,96765;8680,000538;10539,23019;35038,95899;26452,37914;36812,49989;38162,3936;176690,4672
2012.I;16233,59586;2233,562919;31874,12377;6182,704172;17750,59811;58179,73869;21036,73229;8206,959865;9994,637755;33763,48335;26751,2375;35058,07712;38252,54754;171069,2452
2012.II;17669,30716;2224,743467;33190,45214;6022,902581;17960,09032;59328,34671;22136,4269;8469,054795;10266,62401;33800,61344;27433,18746;36165,4613;39125,63418;176091,7396
2012.III;17740,89968;2265,280808;36067,92842;6246,762409;19135,8331;63227,41258;23236,56002;9113,760362;10728,43912;34018,32686;27699,34265;37341,2804;38679,26841;180213,6684
2012.IV;11746,78649;2294,035024;34289,09189;5916,14762;18470,53903;60905,05008;23323,61126;8899,499341;11458,60289;35338,9017;27957,49017;38894,85716;38555,78782;183234,2905
2013.I;19725,86358;2044,966038;31847,87173;5996,004952;17983,64278;57328,61541;21788,91547;8258,405913;10525,61528;33953,72953;28684,97701;35758,71869;38845,4748;175839,4323
2013.II;19463,93418;2148,467801;35137,86018;6149,217697;19398,03041;61947,88353;23016,28736;8982,719188;10852,3589;35029,87455;28766,19936;36752,3508;39648,53231;181549,4734
2013.III;17265,22152;2248,449505;37332,13572;6237,815964;20192,91863;65039,19066;23907,98517;9269,380932;10846,24203;35087,04596;28861,37272;38046,87037;39895,26232;185153,1763
2013.IV;12235,9385;2288,39119;35184,38892;6375,683685;19038,51201;62559,32057;24092,91816;9090,422237;11924,8677;35320,72104;29154,0847;39263,9884;39642,95252;187635,8083
2014.I;21085,5359;2177,773712;32173,86721;6327,063751;19388,14956;59642,13675;22818,70292;8710,918872;11216,1044;34462,50435;29113,01214;36959,5169;38979,79114;180737,1877
2014.II;19499,9678;2319,205765;32550,53029;5946,679759;18788,40711;59833,30032;22730,19369;8841,603748;11434,13717;34405,43454;28921,3071;37769,92578;39898,22495;182716,9052
2014.III;17447,06911;2486,202874;35418,62005;5866,219089;18382,08398;62727,7884;23756,9743;9389,858006;11549,92504;34414,18133;28915,51601;38501,07938;39830,62893;185876,6413
2014.IV;12575,40842;2537,330564;32820,72222;6137,552013;18414,34106;60948,45579;24016,03715;9189,35624;12272,00744;35321,70298;29364,89029;39388,43607;39477,5456;188042,3541
2015.I;22592,2704;2448,052552;29642,88808;5946,644471;17766,09579;56816,74545;21584,30705;8357,010592;11608,09461;34294,99058;29148,34395;37008,06961;38993,41747;178745,6943
2015.II;20406,96931;2502,237289;29761,73012;5823,939099;17161,7851;56536,5371;21068,18226;8347,89351;11414,14;34146,08891;28915,05531;37580,82099;39605,51727;178879,1363
2015.III;17483,16366;2586,437935;31158,05007;5958,657382;17676,0726;58701,65502;21377,13755;8684,299307;11369,33217;34057,9343;28949,91549;37291,0233;39806,11737;179612,991
2015.IV;12674,89437;2442,63409;28514,64747;6195,709229;17483,69919;55713,8813;21139,46359;8345,692;11850,1545;34950,68637;29232,43896;37864,85372;39562,53828;180252,5227
2016.I;20708,54456;2223,085452;26573,46605;6172,368492;16880,40841;52827,43387;19319,6174;7749,020398;11082,23817;33848,99141;29212,94952;35799,54806;38943,81327;172556,8539
2016.II;19161,60792;2373,994308;28361,36223;6332,843063;16616,3028;54894,47948;19670,10498;7848,894041;11054,81315;33137,0708;29003,38865;36129,5463;39814,01806;173973,6943
2016.III;16436,16447;2552,896746;30071,49594;6213,342435;16801,28211;57010,19443;20439,96215;8037,42016;11201,68432;32921,00515;28984,91768;36367,27211;39836,72055;175640,729
