Periodo;AGROPEC.;Ext.Mineral;Transfor.;Eletricidade;Construcao;INDUST.;Comercio;Transporte;Serv.infor.;Interm.finac.;Ativ.imobili.;OutrosServ.;Adm.publica;SERVIC.
2011.II;15851,41402;2298,19312;35432,47605;6085,651809;17692,8008;61388,44977;22072,93609;8525,934858;9947,959677;33499,1236;25950,66553;35705,89693;38079,26956;172820,1515
2011.III;16677,65702;2302,658258;34513,47798;6131,310373;17944,47502;60960,46944;21758,22201;8445,305893;10017,17514;34044,9199;26132,592;35787,30265;38155,3008;172915,1225
2011.IV;17397,04037;2344,330009;33966,86488;6143,207382;18364,5492;61101,65111;21895,32475;8520,9121;10076,17739;34189,46054;26359,05295;35651,36906;38290,96995;173454,6894
2012.I;14036,11737;2317,173056;34296,57716;6234,510576;18337,15666;60788,59312;22052,02375;8499,179162;10261,83952;34194,22903;26769,32773;36219,16533;38535,84182;174985,5004
2012.II;15824,48912;2247,454218;33342,23605;6024,957222;18022,0403;59623,57184;22309,30273;8580,961614;10420,91229;34138,02865;27458,00122;36558,13672;38854,73689;177007,7824
2012.III;17631,68629;2213,196882;33986,0185;6274,815253;18691,49254;60854,18881;22659,96226;8853,697985;10784,13194;34105,93086;27771,36778;36969,38474;38530,39852;178651,9485
2012.IV;16461,80888;2234,408211;33903,57128;5834,895506;18256,72189;60166,56496;22670,10091;8738,941513;10958,71434;34510,72946;27848,3382;37675,81974;38656,98681;179950,2668
2013.I;16867,80506;2158,275282;34120,62762;6048,21055;18654,83665;60349,9532;22809,10493;8618,798668;10800,3554;34350,95443;28677,64635;36927,56811;39159,46042;179706,3579
2013.II;17424,06315;2152,716458;35331,22784;6142,498125;19504,48021;62384,31961;23247,48441;9071,218927;11015,49624;35329,67907;28807,56694;37132,41062;39408,69192;182553,7456
2013.III;17318,20656;2188,37274;35205,9289;6280,138612;19654,51577;62412,61046;23358,94667;8970,27635;10906,88748;35228,64477;28958,05105;37694,66007;39707,63741;183625,9015
2013.IV;17236,88617;2226,920171;34926,87322;6287,752592;18850,25063;61964,48961;23354,23025;8929,559839;11405,01342;34555,25482;29027,0997;38041,66768;39719,78013;184277,1568
2014.I;17848,6064;2272,207854;34329,75127;6380,68199;19964,15917;62344,66985;23828,83129;9026,191041;11502,80926;34757,87387;29082,91573;38148,33831;39390,81955;184549,146
2014.II;17439,62799;2351,173615;32762,07856;5931,743831;18928,64111;60419,89521;23056,52129;9002,852266;11606,44658;34697,08323;28982,56754;38142,56845;39626,54717;183810,5005
2014.III;17673,39983;2417,27866;33294,44297;5919,9541;17953,75541;60177,69106;23223,79049;9072,568091;11622,49662;34639,39753;29023,38647;38172,76614;39609,43625;184382,3014
2014.IV;17764,51153;2477,936413;32639,77161;6046,490445;18234,33306;60362,60968;23218,91371;9022,445146;11735,44699;34557,66053;29226,01107;38171,22554;39515,67041;184637,0598
2015.I;18964,58025;2546,322772;31699,13745;6000,85763;18210,37901;59404,00125;22510,00668;8681,311649;11893,48418;34480,69823;29103,53296;38176,14494;39422,16979;182474,8532
2015.II;18240,3452;2535,640393;29993,80843;5798,90384;17306,51317;57101,40368;21442,12888;8505,730003;11591,98528;34471,99692;28991,92375;37936,2307;39383,26182;180072,7898
2015.III;17858,46363;2510,490772;29054,02228;6026,160832;17321,67425;56257,33909;20885,25279;8371,335122;11449,75667;34366,41402;29065,58838;37001,60716;39562,10798;178137,0077
2015.IV;17928,54593;2385,863792;28371,56994;6098,828465;17295,84999;55118,84736;20417,29313;8181,33626;11326,86014;34166,86134;29082,44812;36698,74497;39569,69497;176808,4085
2016.I;17271,01449;2348,692129;28567,68838;6228,283527;17031,33841;54704,05963;20141,71678;8119,656132;11345,73428;33935,71838;29161,08908;36910,07514;39394,94142;176237,078
2016.II;17134,97493;2382,724315;28589,07307;6301,804287;16773,33714;55355,98361;20047,55182;7946,385286;11231,65913;33502,9016;29094,0317;36460,46256;39615,90168;175218,0306
2016.III;16888,25707;2473,092366;27999,33679;6287,139806;16495,16633;54661,85592;19952,17545;7739,156488;11288,92973;33294,18742;29098,421;36109,82561;39576,69074;174180,4129
